;;;Ryzen 7 7800X3D AND 56660TI;;;;;;
;;;;;;;;;
1. CNN2;;;;;;;;;
CPU o GPU;Time(s);35.38211102;Power(W);5.357238094;Applied energy(J);Accuracy;0.005312909;Loss;0.01409209
Ryzen 7 7800x3D;140.86;;128.2;;;0.4781;;1.4185;
Ryzen 7 7800x3D;121.61;;131;;;0.482;;1.4108;
Ryzen 7 7800x3D;214.7;;117.6;;;0.4688;;1.4407;
Ryzen 7 7800x3D;174.42;;121.3;;;0.4741;;1.4344;
Ryzen 7 7800x3D;161.78;;123.4;;;0.4804;;1.4095;
Average;162.674;;124.3;;;0.47668;;1.42278;
;;Energy;20220.3782;;;;;;
CPU o GPU;Time(s);0.141844986;Power(W);0.270185122;Applied energy(J);Accuracy;0.005375128;Loss;0.009430907
5660ti;64.14;;180.3;;;0.4738;;1.4216;
5660ti;11.89;;248.6;;;0.4833;;1.4118;
5660ti;11.82;;249.1;;;0.4739;;1.416;
5660ti;11.6;;249.2;;;0.4731;;1.4311;
5660ti;11.6;;249.3;;;0.4833;;1.4078;
5660ti;11.6;;249;;;0.4833;;1.4092;
Average;20.44166667;;249.05;;#DIV/0!;0.47845;;1.41625;
;;;;;;;;;
Average without first;11.702;;249.04;;;0.47938;;1.41518;
;Energy;2914.26608;;;;;;;
2. RNN2;;;;;;;;;
CPU o GPU;Time(s);182.6750638;Power(W);6.845582517;Applied energy(J);Accuracy;#DIV/0!;Loss;0.10511566
Ryzen 7 7800x3D;518.35;;123.4;;;;;3.6413;
Ryzen 7 7800x3D;612.11;;121.4;;;;;3.4302;
Ryzen 7 7800x3D;513.39;;123.1;;;;;3.3997;
Ryzen 7 7800x3D;480.16;;128.2;;;;;3.4029;
Ryzen 7 7800x3D;924.46;;109.8;;;;;3.3993;
Average;609.694;;121.18;;#DIV/0!;;;3.45468;
;Energy;73882.71892;;;;;;;
CPU o GPU;Time(s);0.57769369;Power(W);2.897067483;Applied energy(J);Accuracy;#DIV/0!;Loss;0.089258854
5660ti;34.56;;164.2;;;;;3.6394;
5660ti;33.11;;172.1;;;;;3.4878;
5660ti;33.58;;167.5;;;;;3.4547;
5660ti;34.2;;166.3;;;;;3.4419;
5660ti;33.53;;167.2;;;;;3.4124;
Average;33.796;;167.46;;#DIV/0!;;;3.48724;
;Energy;5659.47816;;;;;;;
3. RNN3 / RNN3LSTM;;;;;;;;;
CPU o GPU;Time(s);345.8312677;Power(W);9.034102058;Applied energy(J);Accuracy;#DIV/0!;Loss;0.07943408
Ryzen 7 7800x3D;1192.36;;132.1;;;;;2.8172;
Ryzen 7 7800x3D;1389.54;;130.4;;;;;2.8287;
Ryzen 7 7800x3D;1773.54;;115.3;;;;;2.9737;
Ryzen 7 7800x3D;1381.74;;127.3;;;;;2.7722;
Ryzen 7 7800x3D;2046.68;;112.4;;;;;2.7935;
Average;1556.772;;123.5;192261.342;#DIV/0!;;;2.83706;
;Energy;192261.342;;;;;;;
CPU o GPU;Time(s);0.148895937;Power(W);0.460847046;Applied energy(J);Accuracy;#DIV/0!;Loss;0.050220285
5660ti;600.15;;100;;;;;2.8596;
5660ti;20.24;;274.33;;;;;2.7983;
5660ti;20.13;;275.1;;;;;2.7909;
5660ti;20.43;;275;;;;;2.8684;
5660ti;20.46;;274;;;;;2.8922;
5660ti;20.45;;274.7;;;;;2.8926;
Average;20.342;;274.626;;#DIV/0!;;;2.850333333;
;Energy;5586.442092;;;;;;;
;;;;;;;;;
;;;;;;;;;
4. TRANSFORMER;;;;;;;;;
CPU o GPU;Time(s);5.207990975;Power(W);2.065671804;Applied energy(J);Accuracy;0.012827198;Loss;0.01611794
Ryzen 7 7800x3D;122.04;;108.3;;;0.3318;;1.5142;
Ryzen 7 7800x3D;121.34;;110;;;0.3117;;1.5388;
Ryzen 7 7800x3D;133.47;;106.7;;;0.3174;;1.5326;
Ryzen 7 7800x3D;125.61;;111.7;;;0.344;;1.4984;
Ryzen 7 7800x3D;130.05;;107.2;;;0.3315;;1.5148;
Average;126.502;;108.78;;;0.32728;;1.51976;
;Energy;13760.88756;;;;;;;
CPU o GPU;Tiempo(s);0.063007936;Power(W);0.350713558;Applied energy(J);Accuracy;0.011071721;Loss;0.011393726
5660ti;44;;202.3;;;0.3266;;1.5205;
5660ti;7.97;;228;;;0.3135;;1.5415;
5660ti;8;;227.5;;;0.3377;;1.5164;
5660ti;8.1;;227.1;;;0.3243;;1.5245;
5660ti;8.1;;227.4;;;0.3218;;1.5288;
5660ti;7.99;;227.8;;;0.309;;1.5432;
Average;8.032;;227.56;;;0.32126;;1.53088;
;Energy;1827.76192;;;;;;;
;;;;;;;;;
;;;;;;;;;
5. XGBoost / XG;;;;;;;;;
