1. CNN2;;STD.DESV;;STD.DESV;;;STD.DESV;;STD.DESV
CPU o GPU;Time(s);6.237609318;Power(W);0.788669766;Applied energy(J);Accuracy;0.004837045;Loss;0.012525095
Ryzen 7 4800h;277.93;;85.2;;23562;0.4783;;1.4182;
Ryzen 7 4800h;287.1;;84.2;;23562;0.4815;;1.4108;
Ryzen 7 4800h;273.03;;85.6;;23562;0.469;;1.4407;
Ryzen 7 4800h;270.9;;85.8;;23562;0.474;;1.4344;
Ryzen 7 4800h;277.1;;84.1;;23562;0.4783;;1.4182;
Average;277.212;;84.98;;23562;0.47622;;1.42446;
;Energy;23557.47576;;;;;;;
CPU o GPU;Time(s);2.280442939;Power(W);0.609918027;Applied energy(J);Accuracy;0.004213312;Loss;0.004856748
1660ti;20.79;;119.1;;2510.4;0.4803;;1.4095;
1660ti;15.52;;120.7;;2510.4;0.4741;;1.4214;
1660ti;15.4;;120.1;;2510.4;0.4835;;1.4118;
1660ti;15.9;;120.3;;2510.4;0.4735;;1.416;
1660ti;16.1;;119.7;;2510.4;0.4782;;1.4186;
Average;16.742;;119.98;;2510.4;0.47792;;1.41546;
;Energy;2008.70516;;;;;;;
;;;;;;;;;
2. RNN2;;STD.DESV;;STD.DESV;;;STD.DESV;;STD.DESV
CPU o GPU;Time(s);0.653490627;Power(W);0.864291617;Applied energy(J);Accuracy;#DIV/0!;Loss;0.092466361
1660ti;72.65;;104.1;;7470.75;NA;;3.6271;
1660ti;72.7;;104.1;;7470.75;NA;;3.5892;
1660ti;72.04;;105.6;;7470.75;NA;;3.4439;
1660ti;73.4;;105.1;;7470.75;NA;;3.4421;
1660ti;71.71;;106;;7470.75;NA;;3.4375;
Average;72.5;;104.98;;7470.75;;;3.50796;
;Energy;7611.05;;;;;;;
CPU o GPU;Time(s);37.78012215;Power(W);1.125610945;Applied energy(J);Accuracy;#DIV/0!;Loss;0.063844483
Ryzen 7 4800h;460.76;;70.1;;30514;NA;;3.5488;
Ryzen 7 4800h;378.41;;72.4;;30514;NA;;3.4324;
Ryzen 7 4800h;392.21;;71.2;;30514;NA;;3.4;
Ryzen 7 4800h;381.2;;72.3;;30514;NA;;3.4021;
Ryzen 7 4800h;364.79;;72.9;;30514;NA;;3.4024;
Average;395.474;;71.78;;30514;;;3.43714;
;Energy;28387.12372;;;;;;;
3. RNN3 / RNN3LSTM;;STD.DESV;;STD.DESV;;;STD.DESV;;STD.DESV
CPU o GPU;Time(s);0.157733953;Power(W);0.672309453;Applied energy(J);Accuracy;#DIV/0!;Loss;0.045762102
1660ti;37.83;;118.5;;4629.1;NA;;2.8596;
1660ti;37.84;;118.1;;4629.1;NA;;2.7941;
1660ti;37.86;;119.5;;4629.1;NA;;2.7908;
1660ti;38.2;;117.7;;4629.1;NA;;2.8684;
1660ti;38;;118.6;;4629.1;NA;;2.8916;
Average;37.946;;118.48;;4629.1;;;2.8409;
;Energy;4495.84208;;;;;;;
Ryzen 7 4800h;1221.02;99.14542005;69.7;0.905162969;78076.57;NA;#DIV/0!;2.8171;0.080570817
Ryzen 7 4800h;1294.22;;70;;78076.57;NA;;2.8283;
Ryzen 7 4800h;1145.96;;71.2;;78076.57;NA;;2.9781;
Ryzen 7 4800h;1271;;70.9;;78076.57;NA;;2.7721;
Ryzen 7 4800h;1048.84;;72.5;;78076.57;NA;;2.7935;
Average;1196.208;;70.86;;78076.57;;;2.83782;
;Energy;84763.29888;;;;;;;
;;;;;;;;;
;;;;;;;;;
4. TRANSFORMER;;STD.DESV;;STD.DESV;;;STD.DESV;;STD.DESV
CPU o GPU;Time(s);0.174556581;Power(W);0.391152144;Applied energy(J);Accuracy;0.016004437;Loss;0.017784263
1660ti;14.5;;63.1;;;0.3318;;1.5157;
1660ti;14.21;;63.4;;;0.3363;;1.5126;
1660ti;14.1;;62.7;;;0.2962;;1.5575;
1660ti;14.13;;63.1;;;0.3144;;1.5311;
1660ti;14.07;;62.4;;;0.3144;;1.5311;
Average;14.202;;62.94;;;0.31862;;1.5296;
;Energy;893.87388;;;;;;;
Ryzen 7 4800h;202.56;3.049401581;101.1;0.439317653;;0.3252;0.011806122;1.5241;0.014102393
Ryzen 7 4800h;204.26;;100.2;;;0.3329;;1.512;
Ryzen 7 4800h;211.93;;99.7;;;0.3296;;1.5135;
Ryzen 7 4800h;209.68;;100.9;;;0.335;;1.5122;
Ryzen 7 4800h;211.12;;100.1;;;0.3056;;1.5451;
Average;207.91;;100.4;;;0.32566;;1.52138;
;Energy;20874.164;;;;;;;
;;;;;;;;;
;;;;;;;;;
5. XGBoost / XG;;STD.DESV;;STD.DESV;;;STD.DESV;;STD.DESV
CPU o GPU;Time(s);0.557895706;Power(W);0.860232527;Applied energy(J);Accuracy;0;Loss;#DIV/0!
1660ti;40.91;0.557895706;99.2;0.860232527;4058.272;0.819;0;NA;
1660ti;39.41;;100.7;;3968.587;0.819;;NA;
1660ti;39.7;;99.7;;3958.09;0.819;;NA;
1660ti;39.5;;99.8;;3942.1;0.819;;NA;
1660ti;39.36;;101.5;;3995.04;0.819;;NA;
1660ti;39.32;;101.3;;3983.116;0.819;;NA;
1660ti;39.55;;100.6;;3978.73;0.819;;NA;
Average;39.67857143;;100.4;;3983.419286;0.819;;;
;Energy;3983.728571;;;;;;;
;;;;;;;;;
;;;;;;;;;
5. XGBoost / XG;;STD.DESV;;STD.DESV;;;STD.DESV;;STD.DESV
CPU o GPU;Time(s);11.05772128;Power(W);1.554670383;Applied energy(J);Accuracy;2.39836E-16;Loss;#DIV/0!
Ryzen 7 4800h;358.77;10.35478748;62.1;1.32521337;22279.617;0.815;;NA;
Ryzen 7 4800h;354.52;;63.2;;22405.664;0.815;;NA;
Ryzen 7 4800h;343.34;;64.3;;22076.762;0.815;;NA;
Ryzen 7 4800h;335.5;;65.5;;21975.25;0.815;;NA;
Ryzen 7 4800h;334.22;;65.8;;21991.676;0.815;;NA;
Ryzen 7 4800h;358.77;;63.4;;22746.018;0.815;;NA;
Ryzen 7 4800h;345.86;;63.4;;21927.524;0.815;;NA;
Average;347.2828571;;63.95714286;;22200.35871;0.815;;;
;Energy;22211.21931;;;;;;;
