Batch,Run,Total Time (s),Time/Epoch (s),Throughput (samples/s)
64,1,51.9695,12.9924,3848.41
64,2,52.2353,13.0588,3828.83
64,3,52.3197,13.0799,3822.65
128,1,27.6416,6.9104,7235.47
128,2,27.7804,6.9451,7199.32
128,3,27.9699,6.9925,7150.54
256,1,18.8749,4.7187,10596.06
256,2,18.9087,4.7272,10577.14
256,3,18.9293,4.7323,10565.61
512,1,15.953,3.9883,12536.82
512,2,15.9573,3.9893,12533.45
512,3,16.2282,4.057,12324.25
1024,1,14.8956,3.7239,13426.78
1024,2,15.1131,3.7783,13233.54
1024,3,14.9136,3.7284,13410.57
2048,1,14.9273,3.7318,13398.27
2048,2,14.8178,3.7045,13497.25
2048,3,14.7014,3.6753,13604.18
4096,1,14.7342,3.6835,13573.87
4096,2,14.6715,3.6679,13631.86
4096,3,14.7462,3.6866,13562.82
8192,1,15.3964,3.8491,12990.06
8192,2,15.3652,3.8413,13016.43
8192,3,15.206,3.8015,13152.71
16384,1,21.4732,5.3683,9313.93
16384,2,22.0424,5.5106,9073.42
16384,3,21.6108,5.4027,9254.64
