Batch,Run,Total Time (s),Time/Epoch (s),Throughput (samples/s)
64,1,390.6156,13.0205,3840.09
64,2,379.7679,12.6589,3949.78
64,3,386.4282,12.8809,3881.7
128,1,208.2736,6.9425,7202.07
128,2,210.6689,7.0223,7120.18
128,3,211.8045,7.0601,7082.0
256,1,144.9687,4.8323,10347.06
256,2,144.4944,4.8165,10381.03
256,3,144.7184,4.8239,10364.96
512,1,121.585,4.0528,12337.05
512,2,122.3571,4.0786,12259.2
512,3,121.0674,4.0356,12389.8
1024,1,109.5844,3.6528,13688.09
1024,2,112.6314,3.7544,13317.78
1024,3,109.7504,3.6583,13667.38
2048,1,107.2668,3.5756,13983.82
2048,2,107.8049,3.5935,13914.03
2048,3,107.1677,3.5723,13996.75
