Batch,Run,Total Time (s),Time/Epoch (s),Throughput (samples/s)
16,1,76.6056,1.9151,1305.39
16,2,78.1316,1.9533,1279.89
16,3,77.6662,1.9417,1287.56
32,1,44.4741,1.1119,2248.5
32,2,44.0668,1.1017,2269.28
32,3,44.4908,1.1123,2247.66
64,1,28.1999,0.705,3546.11
64,2,28.1488,0.7037,3552.56
64,3,28.0062,0.7002,3570.64
128,1,20.1553,0.5039,4961.48
128,2,20.1365,0.5034,4966.12
128,3,20.2212,0.5055,4945.3
256,1,15.9391,0.3985,6273.87
256,2,15.9167,0.3979,6282.71
256,3,15.9685,0.3992,6262.33
512,1,13.3186,0.333,7508.28
512,2,13.2816,0.332,7529.23
512,3,13.329,0.3332,7502.44
1024,1,12.3115,0.3078,8122.45
1024,2,12.3069,0.3077,8125.5
1024,3,12.3108,0.3078,8122.95
2048,1,11.9588,0.299,8362.06
2048,2,12.0205,0.3005,8319.1
2048,3,11.9498,0.2987,8368.35
4096,1,2.3102,0.0578,43285.52
4096,2,2.3117,0.0578,43258.05
4096,3,2.2995,0.0575,43487.22
