Batch,Run,Total Time (s),Time/Epoch (s),Throughput (samples/s)
16,1,77.8751,1.9469,1284.11
16,2,78.2874,1.9572,1277.34
16,3,78.9071,1.9727,1267.31
32,1,44.7602,1.119,2234.13
32,2,44.741,1.1185,2235.08
32,3,44.5937,1.1148,2242.47
64,1,28.1134,0.7028,3557.02
64,2,27.8796,0.697,3586.85
64,3,27.9726,0.6993,3574.93
128,1,20.0459,0.5011,4988.55
128,2,20.2037,0.5051,4949.59
128,3,20.2173,0.5054,4946.25
256,1,15.9787,0.3995,6258.33
256,2,15.9904,0.3998,6253.75
256,3,16.053,0.4013,6229.37
512,1,13.3329,0.3333,7500.23
512,2,13.3119,0.3328,7512.06
512,3,13.328,0.3332,7503.0
